Part Name,Price pack,Parts per pack,Count Required,Count Optional,Packs Required Only,Packs Required+Optional,Total Price Required Only,Total Price Required+Optional,Supplier,Part Number,keyname,URL
Diffused RGB 5mm LED,$12.5,25,1,0,1,1,$12.5,$12.5,Adafruit,302,Adafruit-302,http://adafru.it/302
Piezo Buzzer - PS1240,$1.5,1,1,0,1,1,$1.5,$1.5,Adafruit,160,Adafruit-160,http://adafru.it/160
"Adafruit 0.56"" 4-Digit 7-Segment Display w/I2C Backpack - Red",$9.95,1,1,0,1,1,$9.95,$9.95,Adafruit,878,Adafruit-878,http://adafru.it/878
Colorful Round Tactile Button Switch Assortment,$5.95,15,2,0,1,1,$5.95,$5.95,Adafruit,1009,Adafruit-1009,http://adafru.it/1009
Adafruit Pro Trinket - 5V 16MHz,$9.95,1,1,0,1,1,$9.95,$9.95,Adafruit,2000,Adafruit-2000,http://adafru.it/2000
Rotary Encoder + Extras,$4.5,1,1,0,1,1,$4.5,$4.5,Adafruit,377,Adafruit-377,http://adafru.it/377
"4 Position Header Connector 0.100"" (2.54mm) Through Hole Tin",$0.6,1,0,1,0,1,$0.0,$0.6,Digikey,S7002-ND,Digikey-S7002-ND,http://www.digikey.com/product-search/en?keywords=S7002-ND
"CONN HEADER 12POS STR .230"" GOLD",$0.96,1,2,0,2,2,$1.92,$1.92,Digikey,3M11925-ND,Digikey-3M11925-ND,http://www.digikey.com/product-search/en?keywords=3M11925-ND
CONN HEADER VERT SGL 4POS GOLD,$0.33,1,1,0,1,1,$0.33,$0.33,Digikey,3M9449-ND,Digikey-3M9449-ND,http://www.digikey.com/product-search/en?keywords=3M9449-ND
DIODE SCHOTTKY 20V 1A DO41,$0.43,1,1,0,1,1,$0.43,$0.43,Digikey,497-4547-1-ND,Digikey-497-4547-1-ND,http://www.digikey.com/product-search/en?keywords=497-4547-1-ND
CONN PC VERT 9V SNAP-ON,$1.12,1,1,0,1,1,$1.12,$1.12,Digikey,36-968-ND,Digikey-36-968-ND,http://www.digikey.com/product-search/en?keywords=36-968-ND
CONN HEADER VERT SGL 6POS GOLD,$0.42,1,1,0,1,1,$0.42,$0.42,Digikey,3M9451-ND,Digikey-3M9451-ND,http://www.digikey.com/product-search/en?keywords=3M9451-ND
"5 Position Header Connector 0.100"" (2.54mm) Through Hole Tin",$0.62,1,1,0,1,1,$0.62,$0.62,Digikey,S6103-ND,Digikey-S6103-ND,http://www.digikey.com/product-search/en?keywords=S6103-ND
"12 Position Header Connector 0.100"" (2.54mm) Through Hole Tin",$0.98,1,0,2,0,2,$0.0,$1.96,Digikey,S6100-ND,Digikey-S6100-ND,http://www.digikey.com/product-search/en?keywords=S6100-ND
RES 150 OHM 1/6W 5% AXIAL,$0.1,1,1,0,1,1,$0.1,$0.1,Digikey,150EBK-ND,Digikey-150EBK-ND,http://www.digikey.com/product-search/en?keywords=150EBK-ND
RES 100 OHM 1/6W 5% AXIAL,$0.1,1,2,0,2,2,$0.2,$0.2,Digikey,100EBK-ND,Digikey-100EBK-ND,http://www.digikey.com/product-search/en?keywords=100EBK-ND
BATTERY ALKALINE 9V,$2.38,1,1,0,1,1,$2.38,$2.38,Digikey,N145-ND,Digikey-N145-ND,http://www.digikey.com/product-search/en?keywords=N145-ND
"2 Position Header Connector 0.100"" (2.54mm) Through Hole Tin",$0.49,1,3,0,3,3,$1.47,$1.47,digikey,S7000-ND,Digikey-S7000-ND,http://www.digikey.com/product-search/en?keywords=S7000-ND
SparkFun USB Mini-B Cable - 6 Foot,$3.95,1,1,0,1,1,$3.95,$3.95,sparkfun,11301,sparkfun-11301,http://www.sparkfun.com/products/11301
SparkFun FTDI Basic Breakout - 5V,$14.95,1,1,0,1,1,$14.95,$14.95,sparkfun,9716,sparkfun-9716,http://www.sparkfun.com/products/9716
""
Total Cost (required only): ,$72.24
Total Cost (everything): ,$74.8
