Part Name,Price pack,Parts per pack,Count Required,Count Optional,Packs Required Only,Packs Required+Optional,Total Price Required Only,Total Price Required+Optional,Supplier,Part Number,keyname,URL
Super Bright White 5mm LED,$6.95,25,1,0,1,1,$6.95,$6.95,Adafruit,754,Adafruit-754,http://adafru.it/754
"Small 1.2"" 8x8 Ultra Bright White LED Matrix + Backpack",$13.5,1,1,0,1,1,$13.5,$13.5,Adafruit,1614,Adafruit-1614,http://adafru.it/1614
"Ball Caster - 3/4"" Metal Ball",$4.95,1,1,0,1,1,$4.95,$4.95,Adafruit,1200,Adafruit-1200,http://adafru.it/1200
Adafruit Pro Trinket - 5V 16MHz,$9.95,1,1,0,1,1,$9.95,$9.95,Adafruit,2000,Adafruit-2000,http://adafru.it/2000
CAP ALUM 100UF 20% 25V RADIAL,$0.25,1,1,0,1,1,$0.25,$0.25,Digikey,P5152-ND,Digikey-P5152-ND,http://www.digikey.com/product-search/en?keywords=P5152-ND
"4 Position Header Connector 0.100"" (2.54mm) Through Hole Tin",$0.6,1,0,1,0,1,$0.0,$0.6,Digikey,S7002-ND,Digikey-S7002-ND,http://www.digikey.com/product-search/en?keywords=S7002-ND
"CONN HEADER 12POS STR .230"" GOLD",$0.96,1,2,0,2,2,$1.92,$1.92,Digikey,3M11925-ND,Digikey-3M11925-ND,http://www.digikey.com/product-search/en?keywords=3M11925-ND
CONN HEADER VERT SGL 4POS GOLD,$0.33,1,1,0,1,1,$0.33,$0.33,Digikey,3M9449-ND,Digikey-3M9449-ND,http://www.digikey.com/product-search/en?keywords=3M9449-ND
"12 Position Header Connector 0.100"" (2.54mm) Through Hole Tin",$0.98,1,0,2,0,2,$0.0,$1.96,Digikey,S6100-ND,Digikey-S6100-ND,http://www.digikey.com/product-search/en?keywords=S6100-ND
DIODE SCHOTTKY 20V 1A DO41,$0.43,1,1,0,1,1,$0.43,$0.43,Digikey,497-4547-1-ND,Digikey-497-4547-1-ND,http://www.digikey.com/product-search/en?keywords=497-4547-1-ND
CONN PC VERT 9V SNAP-ON,$1.12,1,1,0,1,1,$1.12,$1.12,Digikey,36-968-ND,Digikey-36-968-ND,http://www.digikey.com/product-search/en?keywords=36-968-ND
SW SNAP SPDT 3A 80GF RT ANG 125V,$2.27,1,1,0,1,1,$2.27,$2.27,Digikey,SW842-ND,Digikey-SW842-ND,http://www.digikey.com/product-search/en?keywords=SW842-ND
CONN HEADER VERT SGL 6POS GOLD,$0.42,1,1,0,1,1,$0.42,$0.42,Digikey,3M9451-ND,Digikey-3M9451-ND,http://www.digikey.com/product-search/en?keywords=3M9451-ND
CAP ALUM 3300UF 20% 25V RADIAL,$1.13,1,1,0,1,1,$1.13,$1.13,Digikey,P5158-ND,Digikey-P5158-ND,http://www.digikey.com/product-search/en?keywords=P5158-ND
RES 330 OHM 1/6W 5% AXIAL,$0.1,1,1,0,1,1,$0.1,$0.1,Digikey,330EBK-ND,Digikey-330EBK-ND,http://www.digikey.com/product-search/en?keywords=330EBK-ND
BATTERY ALKALINE 9V,$2.38,1,1,0,1,1,$2.38,$2.38,Digikey,N145-ND,Digikey-N145-ND,http://www.digikey.com/product-search/en?keywords=N145-ND
D2F-L-A1,$2.16,1,1,0,1,1,$2.16,$2.16,Digikey,SW843-ND,Digikey-SW843-ND,http://www.digikey.com/product-search/en?keywords=SW843-ND
Sharp GP2Y0A51SK0F Analog Distance Sensor 2-15cm,$7.95,1,1,0,1,1,$7.95,$7.95,Pololu,2450,Pololu-2450,http://www.pololu.com/product/2450
3-Pin Female JST ZH-Style Cable (30cm) for Sharp GP2Y0A51 Distance Sensors,$0.99,1,1,0,1,1,$0.99,$0.99,Pololu,2411,Pololu-2411,http://www.pololu.com/product/2411
"Solarbotics GMB28 (GM2/GM8 Gear Motor Bracket, Laser-Cut Steel)",$1.49,1,2,0,2,2,$2.98,$2.98,Pololu,602,Pololu-602,http://www.pololu.com/product/602
Hook-up Stranded Wire - Red (22 AWG),$2.95,1,2,0,2,2,$5.9,$5.9,Sparkfun,8865,Sparkfun-8865,http://www.sparkfun.com/products/8865
Hook-up Stranded Wire - Black (22 AWG),$2.95,1,2,0,2,2,$5.9,$5.9,Sparkfun,8867,Sparkfun-8867,http://www.sparkfun.com/products/8867
SparkFun Motor Driver - Dual TB6612FNG (1A),$8.95,1,1,0,1,1,$8.95,$8.95,Sparkfun,9457,Sparkfun-9457,http://www.sparkfun.com/products/9457
Hobby Gearmotor -  65 RPM (Right Angle),$3.95,2,2,0,1,1,$3.95,$3.95,Sparkfun,13258,Sparkfun-13258,http://www.sparkfun.com/products/13258
"Wheel - 65mm (Rubber Tire, Pair)",$2.95,2,2,0,1,1,$2.95,$2.95,Sparkfun,13259,Sparkfun-13259,http://www.sparkfun.com/products/13259
"Metric Pan Head Phillips Machine Screw Zinc-Plated Steel, M2.5 Size, 8mm Length, .45mm Pitch",$4.13,100,8,0,1,1,$4.13,$4.13,mcmaster,92005A069,mcmaster-92005A069,http://www.mcmaster.com/#92005A069
"Class 04 Steel Thin Hex Nut - DIN 439B Zinc Plated, M2.5x0.45 Thread Size, 5mm Wide, 1.6mm High",$6.84,100,8,0,1,1,$6.84,$6.84,mcmaster,90695A031,mcmaster-90695A031,http://www.mcmaster.com/#90695A031
